discipline,year,papers,oa_rate,open_material_rate,github_rate,zenodo_rate,osf_rate,dataset_rate,preregistered_rate,preprint_rate,high_impact_rate,non_oa_open_signal_rate,open_science_any_rate,mean_open_science_score,mean_citations,composite_index,hi_papers,hi_oa_rate,hi_open_material_rate,hi_github_rate,hi_dataset_rate,hi_preregistered_rate,hi_preprint_rate
neurology,2023,17433,0.6521539608787931,0.016233579991969255,0.0008604371020478403,0.0080881087592497,0.00011472494693971204,0.007457121551081283,0.0,0.0,0.03980955658808008,0.016233579991969255,0.6522686858257328,0.018985622433945762,6.143865083462399,13.61,694,0.8184438040345822,0.0,0.0,0.0,0.0,0.0
neurology,2024,14658,0.6422431436758085,0.0028653295128939827,0.0005457770500750444,0.0011597762314094692,0.0002728885250375222,0.001023331968890708,0.0,0.0,0.0203301951152954,0.0028653295128939827,0.6423795879383272,0.02506499066257936,4.279506071769682,12.94,298,0.7718120805369127,0.006711409395973154,0.0,0.006711409395973154,0.0,0.0
neurology,2025,17273,0.6462108493023795,0.0289469113645574,0.001157876454582296,0.02205754645979274,0.0009263011636658369,0.005036762577432988,0.0,0.0,0.004805187286516529,0.0289469113645574,0.6467897875296705,0.028458755945677802,1.4511086667052626,13.76,83,0.43373493975903615,0.0,0.0,0.0,0.0,0.0
neurology,2026,8079,0.6950117588810496,0.17155588562940957,0.004703552419853942,0.1248916945166481,0.008540660972892685,0.03589553162520114,0.0,0.0,0.003713330857779428,0.17155588562940957,0.6956306473573463,0.03583942872081101,0.11139992573338285,18.95,30,0.0,0.0,0.0,0.0,0.0,0.0
neuroscience,2015,30544,0.43380041906757466,0.0323467784180199,9.821896280775276e-05,0.002717391304347826,0.0,0.029563907805133578,0.0,0.0,0.12254452592980618,0.0323467784180199,0.4338331587218439,0.044210718085144866,26.092751440544788,10.08,3743,0.6326476088698905,0.004007480630510286,0.0,0.003473149879775581,0.0,0.0
neuroscience,2016,31310,0.4508144362823379,0.019929734908974768,0.0005748961992973491,0.003481315873522836,0.00015969338869370808,0.015937400191632065,0.0,0.0,0.11529862663685723,0.019929734908974768,0.45094219099329286,0.04571989292875344,24.98249760459917,9.84,3610,0.654016620498615,0.004986149584487534,0.0002770083102493075,0.003601108033240997,0.0,0.0
neuroscience,2017,33020,0.4654451847365233,0.021774682010902484,0.00015142337976983646,0.0032404603270745004,0.0003937007874015748,0.017958812840702606,0.0,0.0,0.1076923076923077,0.021774682010902484,0.4655360387643852,0.04515158298997492,23.739733494851606,10.21,3556,0.6628233970753655,0.005061867266591676,0.0,0.0044994375703037125,0.0,0.0
neuroscience,2018,32569,0.4807025085203721,0.01307992262580982,0.0009211213116767478,0.004083637815100249,0.0008290091805090731,0.007553194755749332,0.0,0.0,0.10393318800085971,0.01307992262580982,0.4808867327827075,0.04481724297209394,23.59495225521201,10.1,3385,0.6679468242245199,0.006499261447562777,0.0002954209748892171,0.004726735598227474,0.0,0.0
neuroscience,2019,30947,0.5304876078456716,0.010857272110382267,0.0010986525349791579,0.0028758845768572074,0.0005170129576372508,0.006656541829579604,0.0,0.0,0.10188386596439074,0.010857272110382267,0.530616861085081,0.04490888352990608,23.269299124309303,11.03,3153,0.7231208372978116,0.006343165239454488,0.0006343165239454488,0.003805899143672693,0.0,0.0
neuroscience,2020,25470,0.6318021201413427,0.007813113466823713,0.0016882606988614056,0.0021594032194738907,0.00035335689045936394,0.003769140164899882,0.0,0.0,0.11067923046721634,0.007813113466823713,0.6320769532783667,0.04585732028274892,26.184020416175894,12.92,2819,0.7740333451578574,0.004256828662646328,0.0024831500532103584,0.001418942887548776,0.0,0.0
